gene	pLI	LOEUF
LOH12CR2	0.51669	1.312
VPS9D1	7.2069e-20	1.312
TAS2R40	0.028878	1.312
FXYD3	1.0105e-05	1.313
ZWINT	7.2736e-11	1.313
AP4M1	4.4873e-17	1.313
MFSD10	7.3331e-11	1.313
TPRKB	0.00821	1.313
TECRL	3.1983e-12	1.313
PI16	7.1384e-09	1.313
CCDC137	5.9139e-07	1.313
KLF8	0.0022471	1.313
OR6S1	0.028811	1.313
RCAN3	0.00015715	1.313
NKX6-2	0.028854	1.313
ZNF511	0.00015695	1.313
TEX30	0.00060198	1.313
NFE2L3	7.1842e-11	1.314
C6orf58	7.0978e-09	1.314
ADRA1D	4.0117e-05	1.314
RP11-944L7.5	0.093652	1.314
ZP4	1.7419e-18	1.314
MPDU1	1.0051e-05	1.314
CARTPT	0.093729	1.314
MTERFD3	2.464e-06	1.314
MARCH8	5.8689e-07	1.314
AP001362.1	0.2573	1.314
SLC35E3	5.8322e-07	1.315
INSC	1.706e-18	1.315
PTCD2	7.1321e-11	1.315
CYP2C18	3.3436e-10	1.315
NHLH1	0.25683	1.315
RANBP17	7.1728e-45	1.315
CMTM1	0.0022376	1.315
ALPPL2	1.4933e-11	1.315
APOA1BP	2.4443e-06	1.315
FIGLA	0.0022269	1.316
CHRNG	3.3338e-19	1.316
SAGE1	8.5732e-18	1.316
ACCSL	8.5206e-18	1.316
FAM89A	0.25672	1.316
MINOS1-NBL1	0.028653	1.316
MRPL46	1.3615e-07	1.316
TMEM18	0.0022182	1.317
CLEC4C	5.7708e-07	1.317
ASCC1	2.6051e-14	1.317
FEV	0.0081114	1.317
ARL13A	0.00059177	1.317
UBE2U	1.3492e-07	1.317
SLC2A11	6.2349e-13	1.317
CD84	6.9102e-09	1.317
EPYC	5.7495e-07	1.317
CDA	0.0081038	1.318
NAGPA	3.0095e-12	1.318
FKRP	9.8362e-06	1.318
ZFP37	6.1213e-13	1.318
C6orf222	1.2538e-20	1.318
DPEP2	3.2234e-10	1.318
KRT12	2.5279e-14	1.319
SELP	5.0448e-32	1.319
PRSS21	1.3247e-07	1.319
GPR137B	1.4197e-11	1.319
PGC	6.752e-11	1.319
PGM1	5.0551e-15	1.319
SLC25A32	6.7625e-09	1.319
CPA3	2.0416e-16	1.319
KLK1	0.00015311	1.319
PRR26	0.25576	1.319
JMJD4	1.4886e-09	1.319
CD33	5.6888e-07	1.319
TRAPPC6B	0.00015283	1.32
FOXRED1	1.9872e-16	1.32
TRIM42	3.0721e-19	1.32
KRTAP10-7	9.7068e-06	1.32
BOP1	0.092793	1.32
SLC25A2	0.0022001	1.32
PDXP	0.25559	1.32
PRDM9	4.8301e-27	1.32
BCDIN3D	3.8663e-05	1.321
LRAT	0.028354	1.321
TCP10L2	2.9683e-08	1.321
TSPYL1	5.621e-07	1.321
C4orf48	0.51423	1.321
ADA	2.8825e-12	1.321
ZNF157	9.6717e-06	1.321
RAB41	0.00058306	1.321
KRT72	1.3674e-11	1.322
TNFRSF4	0.00015133	1.322
PCYOX1L	6.5627e-11	1.322
PKIG	0.51408	1.322
SLC29A3	1.2925e-07	1.322
C15orf61	0.092485	1.322
OTUD6B	1.2841e-07	1.323
GJB3	0.0021767	1.323
SNX24	9.5459e-06	1.323
CTSG	9.5595e-06	1.323
PPAPDC3	0.0079976	1.323
OR6C2	0.092283	1.323
MRPL17	0.028198	1.323
ZNF160	0.028175	1.323
ALKBH3	2.7442e-12	1.324
JMJD7-PLA2G4B	1.0582e-40	1.324
PLA2G4B	1.0582e-40	1.324
YRDC	0.0021751	1.324
RP11-503N18.3	2.7711e-12	1.324
TXNDC8	0.0079737	1.324
SMAGP	0.25441	1.324
FAM71B	0.0021732	1.324
CCDC152	3.8214e-05	1.324
KIAA1143	0.0079624	1.324
OR8B4	0.028169	1.324
ANKRD29	6.3522e-09	1.325
ANGPT4	4.5492e-15	1.325
MTFP1	0.0079484	1.325
KDM4E	0.51315	1.325
CCNJL	1.2662e-07	1.325
C9orf96	1.5666e-23	1.325
ZNF134	1.2592e-07	1.325
ZNF790	9.0679e-16	1.325
MYO1A	8.897e-46	1.325
MNS1	2.0964e-21	1.325
PIF1	1.8307e-16	1.325
MAMDC4	1.3953e-51	1.326
SMTNL1	2.6675e-12	1.326
TMEM126A	0.002157	1.326
TCEB2	0.091842	1.326
CTD-2267D19.3	0.091869	1.326
CA12	1.2849e-11	1.327
NRG4	0.027981	1.327
ACOT2	9.3287e-06	1.327
GSTT1	0.00014834	1.327
NOC2L	2.8933e-29	1.327
ZMPSTE24	8.8702e-16	1.327
SPRYD4	0.0079114	1.327
IDH1	2.6244e-12	1.327
BSX	0.0079075	1.327
UNC119	0.00014831	1.327
F2RL1	0.00014843	1.327
COX15	1.1031e-13	1.327
AP000721.4	0.091638	1.327
ZNF792	2.9153e-10	1.327
ASB8	3.767e-05	1.327
L1TD1	5.3285e-07	1.328
ALG11	6.1729e-09	1.328
UCKL1	4.3613e-15	1.328
PCDHB12	1.2331e-07	1.328
TXNDC12	3.7354e-05	1.328
DHRS11	2.2434e-06	1.328
GP1BB	0.51249	1.328
OOSP2	0.027872	1.328
PRIMPOL	1.3322e-18	1.328
MAP1LC3A	0.027922	1.328
COQ6	4.3324e-15	1.328
SHC2	2.1349e-14	1.329
PFDN5	0.00056773	1.329
NMRAL1	9.2538e-06	1.329
AICDA	9.2098e-06	1.329
NUDT12	6.0014e-11	1.329
ZNF571	2.5734e-12	1.329
BCAS2	2.7764e-08	1.329
BCHE	1.0643e-13	1.329
LDHC	5.2747e-07	1.329
GNGT1	0.25287	1.329
LCN12	0.00014601	1.33
LYPD2	0.25267	1.33
LBP	4.1897e-15	1.33
HOXB2	0.00014636	1.33
ZNF517	0.00014628	1.33
MRPL30	0.027748	1.33
RNF5	3.6989e-05	1.33
PCDHA8	1.2881e-18	1.33
ZP1	1.8672e-21	1.33
METTL15	2.7801e-10	1.331
IRX6	2.4989e-12	1.331
LYSMD4	0.00056203	1.331
RWDD2B	1.2057e-07	1.331
B3GAT3	2.7099e-08	1.331
KRTAP6-3	0.51164	1.331
CTSB	5.8819e-11	1.331
UGT1A3	1.3092e-09	1.331
UGT1A8	1.3092e-09	1.331
RHEBL1	2.1883e-06	1.332
HSD3B7	2.694e-08	1.332
CTSO	5.9474e-09	1.332
NOTO	0.0021119	1.333
ACTL7A	5.1316e-07	1.333
C8B	2.3057e-19	1.334
THAP6	0.00055657	1.334
TMEM233	0.090614	1.334
AC040160.1	0.0077571	1.334
HTR2B	2.6913e-10	1.334
MANSC1	0.0077616	1.334
CECR5	1.2564e-09	1.335
GGCT	0.000143	1.335
IQCF6	0.007742	1.335
R3HCC1	0.00014338	1.335
RHOXF2B	0.25146	1.335
ZNF22	0.0020997	1.335
CCR8	0.0077492	1.335
SULT1C2	2.646e-10	1.335
METTL8	5.5478e-11	1.335
SPC24	0.00014316	1.335
TIMD4	2.6444e-10	1.336
ITGB1BP2	2.5951e-08	1.336
LILRB4	4.7133e-13	1.336
C15orf38-AP3S2	1.1457e-11	1.336
CLEC3B	0.0020953	1.336
ENGASE	4.4142e-25	1.336
ANKRD1	2.6259e-10	1.336
GPX5	0.00055229	1.336
AC007952.5	0.51031	1.336
UBE2L6	0.0077047	1.337
OARD1	0.0005506	1.337
ELOF1	0.090121	1.337
PRR15L	0.51009	1.337
CLEC18A	0.0076995	1.337
KRT23	4.6553e-13	1.337
HRASLS5	2.1201e-06	1.337
MAP3K15	2.9348e-32	1.337
KM-PA-2	0.50999	1.337
P2RY14	0.00054873	1.338
APOA1	0.00054909	1.338
HTRA4	2.2705e-12	1.338
CSGALNACT1	9.2684e-14	1.338
LRRN4	1.2137e-09	1.338
CD1B	5.3558e-11	1.338
MAP10	8.0607e-21	1.338
ALOX15	1.1397e-23	1.338
FOXD4L1	0.0076622	1.339
ENKD1	2.5321e-08	1.339
NME8	5.5821e-28	1.339
EDA2R	0.00054689	1.339
HTR3C	2.5562e-10	1.339
LIN7A	1.1286e-07	1.339
EPM2A	8.7182e-06	1.339
PHLDA3	0.25036	1.339
KRT17	1.098e-11	1.339
KCNK6	0.0020738	1.339
BLCAP	0.50953	1.339
CHIT1	7.1716e-16	1.339
STPG1	1.2043e-09	1.339
MARCO	7.7683e-21	1.34
CABS1	0.0076333	1.34
C4orf33	3.5241e-05	1.34
CCBL2	7.1258e-16	1.34
ZNF683	1.1234e-07	1.34
LAD1	1.7834e-14	1.34
ARSA	1.0893e-11	1.34
APOD	0.00054449	1.34
KIAA1161	1.0871e-11	1.34
ZFP57	0.00054557	1.34
FUT1	0.00054555	1.34
OR10J5	0.027185	1.34
OR1A2	0.027183	1.34
NEK3	5.3204e-18	1.34
GAL3ST4	2.2251e-12	1.34
OCIAD2	3.5288e-05	1.34
ST20-MTHFS	0.0076321	1.34
PCSK9	2.7059e-17	1.341
CPB2	2.7076e-17	1.341
ZNF273	0.027091	1.341
DNAJC12	2.0723e-06	1.341
GBP3	1.0303e-18	1.341
MRPS18A	8.6298e-06	1.341
RAB40B	8.6559e-06	1.341
CYP1A2	2.4795e-10	1.341
KIAA1257	1.1741e-09	1.341
COX4I2	0.00013995	1.341
KRTAP5-1	0.089364	1.342
PTK6	4.3468e-13	1.342
PYCR2	2.0652e-06	1.342
BIRC7	1.1004e-07	1.342
RTP1	8.5587e-06	1.343
NEU3	2.4425e-08	1.343
KPNA7	3.3787e-15	1.343
CAV2	0.026973	1.343
CISH	0.00053852	1.343
RP11-178L8.4	3.4739e-05	1.343
UTF1	0.50847	1.343
SPATA9	3.4805e-05	1.343
CYB561D2	0.00013776	1.344
ANKRD37	0.00053673	1.344
CCDC11	9.6973e-19	1.344
MPST	3.4664e-05	1.344
STEAP3	5.3195e-09	1.344
MCEE	0.026913	1.344
ANKRD49	0.00053732	1.344
COQ3	2.4344e-08	1.344
EVI2A	0.0020438	1.344
HES5	0.24882	1.344
TMEM139	0.0075458	1.345
LYVE1	4.7185e-07	1.345
CXCL16	3.4546e-05	1.345
SLC25A34	4.7127e-07	1.345
PPP1R14C	0.002032	1.345
RDH11	1.0807e-07	1.345
IL26	0.00053514	1.345
RGS5	0.00053488	1.345
TIGD7	2.0699e-12	1.345
C15orf43	2.0249e-06	1.345
TAF1D	8.4009e-06	1.346
SLFN12	4.6915e-07	1.346
AGER	6.3528e-16	1.346
GPR182	0.00013704	1.346
SLC35G6	0.00053288	1.346
FCGR2A	2.0054e-06	1.346
FHAD1	0.00013667	1.346
SPATA31E1	0.026776	1.347
AGTR1	0.00053161	1.347
HSPB11	0.0020199	1.347
HSPB6	0.088703	1.347
AQP11	0.00053022	1.347
FAM98C	1.0622e-07	1.347
ORM2	2.0003e-06	1.347
UQCRH	0.0020194	1.347
GALR1	0.00053174	1.347
GOSR2	4.6633e-07	1.347
AAR2	8.3057e-06	1.348
PCDHB15	9.7376e-12	1.348
ZNF215	6.1857e-16	1.348
BMP8A	1.9786e-06	1.348
C9orf131	4.6321e-18	1.348
POMZP3	0.00052926	1.348
GJC3	0.00052869	1.348
ENOSF1	9.0272e-19	1.348
DHCR7	3.949e-13	1.349
ZNF169	9.5983e-12	1.349
CENPQ	1.045e-07	1.349
BTNL9	7.8754e-14	1.349
WDYHV1	8.2435e-06	1.349
LONP2	4.2411e-28	1.349
BPHL	4.5804e-07	1.349
IVD	1.5329e-14	1.35
CCDC170	8.6099e-24	1.35
THEG	5.0204e-09	1.35
GINM1	5.027e-09	1.35
JAGN1	0.0074462	1.35
PDCL3	8.2348e-06	1.35
URGCP-MRPS24	0.00052507	1.35
FLYWCH1	8.6719e-19	1.35
HSD17B1	0.00013421	1.351
RGL3	9.9866e-32	1.351
NUDT22	4.5224e-07	1.351
YIPF7	8.1847e-06	1.351
ARL2BP	3.3482e-05	1.351
CCDC109B	2.2776e-08	1.351
CDK15	2.2449e-17	1.351
TUBB1	1.0217e-07	1.352
GSTK1	1.9374e-06	1.352
LRRC40	6.0015e-21	1.352
B3GAT2	3.3253e-05	1.352
PPIF	0.0019919	1.352
METTL2A	3.7556e-13	1.352
PCDHGA8	4.2794e-18	1.352
MS4A4A	8.0964e-06	1.353
H1FX	0.08771	1.353
PAOX	4.8573e-09	1.353
RFPL3S	0.08777	1.353
ITPA	1.0144e-07	1.353
NDUFS5	0.026413	1.353
CEP72	1.5766e-19	1.353
KYNU	4.1806e-18	1.353
FNDC9	0.0073799	1.353
HLA-DOB	1.9197e-06	1.353
COMTD1	3.3099e-05	1.353
METTL12	0.0019838	1.353
SLC11A1	1.5485e-19	1.354
H2AFJ	0.24627	1.354
IMPG1	1.3662e-29	1.354
SLCO1B1	1.1086e-21	1.354
MROH6	4.1528e-18	1.354
MRPL24	1.9123e-06	1.354
ZNF251	1.8294e-12	1.354
GNG2	0.50556	1.354
TP53TG5	4.443e-07	1.354
METTL22	7.2912e-14	1.354
SDCCAG3	3.6526e-13	1.354
DPPA2	4.7882e-09	1.355
GPR37L1	1.0195e-09	1.355
ENDOV	1.0129e-09	1.355
LSM5	0.026283	1.355
NLRP12	3.6493e-28	1.355
LYNX1	0.026317	1.355
ERCC8	2.7974e-15	1.355
TMEM144	4.3842e-11	1.355
C5AR2	0.24585	1.355
CXorf36	3.2801e-05	1.355
UPK1B	2.1842e-08	1.356
TMEM91	0.026278	1.356
CDK5RAP1	7.7821e-19	1.356
NABP1	3.2763e-05	1.356
TRMT44	2.0315e-22	1.356
R3HDML	1.884e-06	1.356
ATG10	2.1789e-08	1.356
CLHC1	5.5753e-21	1.356
RAB38	0.0019671	1.356
BBS10	1.7467e-12	1.357
KLF17	4.6604e-09	1.357
GRAMD2	3.4911e-13	1.357
C1orf173	1.0824e-42	1.357
CHODL	2.1485e-08	1.358
FAM210B	0.087064	1.358
KLC3	3.8573e-18	1.358
APOBEC3B	5.2144e-16	1.358
GGT2	0.00012986	1.358
MYL1	0.00013017	1.358
BST1	4.2099e-11	1.358
CKMT1B	3.2331e-05	1.358
COMMD7	9.7494e-08	1.358
BARD1	1.3777e-24	1.358
THAP3	0.0072819	1.358
SLC22A5	5.2651e-16	1.358
CCDC103	0.00050909	1.359
NME6	4.2713e-07	1.359
SLC51B	0.24475	1.359
SLC5A9	9.2114e-27	1.359
WDSUB1	6.7458e-14	1.359
FBLL1	0.086897	1.359
TRIM4	8.502e-12	1.359
SLFN5	1.7046e-12	1.359
GTF2A2	0.026061	1.359
IFI35	4.2821e-07	1.359
C12orf29	2.1077e-08	1.36
OPN1MW2	0.24464	1.36
FAHD2B	9.5913e-08	1.36
PCBD2	0.026044	1.36
OR1L8	0.08669	1.36
TMEM213	0.086669	1.36
CNFN	0.026008	1.36
MOCS3	1.8387e-06	1.36
FDX1	0.086575	1.361
RP11-701P16.2	0.24418	1.361
SLC25A45	4.2329e-07	1.361
CRISP1	1.8344e-06	1.361
PRH1	0.0072243	1.361
CAPNS2	0.0019337	1.361
CCR10	0.00050508	1.361
TBXA2R	0.00012823	1.361
PVALB	0.086602	1.361
LXN	1.8254e-06	1.361
TMCO1	9.41e-10	1.362
TBX10	2.0686e-08	1.362
TMEM26	2.0721e-08	1.362
KCNE4	0.24409	1.362
TEX35	9.433e-08	1.362
KLK2	0.00012775	1.362
SHMT1	1.275e-14	1.362
PRSS53	9.3515e-17	1.363
FN3K	2.0577e-08	1.363
C11orf53	0.0019229	1.363
METTL21A	0.00050104	1.363
RPP14	0.0019269	1.363
NDUFA4L2	0.086367	1.363
POTEJ	2.0619e-08	1.363
KHDC1L	0.086279	1.363
KLK12	3.1679e-05	1.363
NOD2	1.9834e-30	1.363
SUSD5	4.0003e-11	1.363
NKIRAS1	0.00050065	1.363
ERVFRD-1	0.025857	1.363
ACSM2A	3.2754e-23	1.364
FATE1	0.0071681	1.364
GPR68	0.00049976	1.364
CYB5R1	4.3643e-09	1.364
PPP1R35	0.0071662	1.364
TUBA3E	2.0308e-08	1.364
ADTRP	4.0967e-07	1.365
C3orf62	0.00012633	1.365
ALG10B	2.0263e-08	1.365
AC117834.1	0.50258	1.365
POLR2J	0.0071512	1.365
ABCG8	2.3838e-20	1.365
CCR3	0.00012636	1.365
LYG1	3.133e-05	1.365
ANKRD53	4.0883e-07	1.365
SLC15A3	7.7754e-12	1.366
MAP1LC3B	0.0019065	1.366
CD200R1	4.3137e-09	1.366
FANCA	1.5943e-68	1.366
CYP20A1	8.8921e-17	1.366
C17orf74	7.7303e-12	1.366
PSMB10	1.7692e-06	1.366
EFCAB13	6.4531e-32	1.366
CRNN	0.00012577	1.366
ITPRIPL1	1.8771e-10	1.366
C20orf96	1.178e-14	1.367
TGM6	1.1154e-24	1.367
RIPK3	1.1874e-14	1.367
ASIC5	6.0266e-14	1.367
ATP5I	0.085765	1.367
MYLK4	3.0554e-13	1.367
ATP5SL	1.9807e-08	1.367
MMP20	6.0776e-14	1.367
FCER1A	3.0826e-05	1.368
FCER2	7.6122e-12	1.368
RAD9B	3.0239e-13	1.368
RP11-105C20.2	0.5017	1.368
PILRB	0.00012455	1.368
PIGP	0.0018935	1.368
LCN10	3.0786e-05	1.368
RHBDL2	8.9365e-08	1.369
WNT10A	4.1667e-09	1.369
TRIML1	3.704e-11	1.369
UBE2V1	0.00012406	1.369
ODF3L2	0.025553	1.369
SLC34A3	5.8863e-14	1.369
BAK1	7.4028e-06	1.369
DAD1	0.085505	1.369
TMEM184A	3.66e-11	1.37
TDRD12	2.9169e-13	1.37
XRCC2	3.955e-07	1.37
TSPAN1	7.3518e-06	1.37
FETUB	8.8804e-08	1.37
NTSR1	1.928e-08	1.37
TMEM216	0.0018855	1.37
FASTKD1	4.5631e-29	1.371
PCDHB6	1.7745e-10	1.371
ANO7	3.4578e-42	1.371
OR4F15	0.08518	1.371
ABRACL	0.24171	1.371
OR5M8	0.025433	1.371
CNTD2	0.00048667	1.371
PFN3	0.50096	1.371
SAP25	0.08503	1.372
NDUFA5	0.0018728	1.372
HDHD3	0.0018719	1.372
CCL4	0.24134	1.372
PDCD2	3.8955e-07	1.372
DPH1	8.0168e-17	1.372
CA2	1.6946e-06	1.373
C16orf59	7.1044e-12	1.373
MICALL2	3.442e-26	1.373
SLC17A1	4.1179e-16	1.373
CCS	8.6291e-08	1.373
RGPD1	0.0070125	1.373
SLC26A10	2.0972e-15	1.373
SPDYE1	3.5518e-11	1.373
IKBKG	0.084853	1.373
SHCBP1L	1.5171e-17	1.373
ACTR3C	7.2147e-06	1.374
FEM1A	8.3375e-10	1.374
CSN2	7.1828e-06	1.374
KLHL34	3.0037e-05	1.374
SPRY4	0.0004821	1.374
PCDHB4	7.0275e-12	1.374
ADPRHL1	3.491e-11	1.374
AMBP	2.7886e-13	1.374
ELOVL2	8.3719e-10	1.374
C9orf50	1.8577e-08	1.375
CASQ2	1.3885e-12	1.375
BDH2	8.5318e-08	1.375
CYP4F12	1.474e-17	1.375
CYP4F2	7.5803e-17	1.375
TOMM5	0.49975	1.375
CDKN1A	0.0018575	1.375
CCDC157	7.1565e-22	1.375
ZNF136	0.00047939	1.375
CD209	2.7418e-13	1.375
HAX1	8.4813e-08	1.375
SLC25A35	1.8465e-08	1.375
KIAA0020	3.2052e-26	1.376
CTSW	6.8595e-12	1.376
PPCDC	0.00047853	1.376
SLC22A13	5.3133e-14	1.376
SPINT4	0.084396	1.376
TGFBR3L	0.084471	1.376
MRPS25	0.00047858	1.376
C21orf33	2.9727e-05	1.376
KRTAP5-5	0.084477	1.376
CYP27A1	5.2916e-19	1.376
CYP39A1	3.8748e-16	1.376
ACTRT2	0.0004766	1.377
EPN3	7.4151e-17	1.377
MYL4	0.00012029	1.377
TMEM251	0.0069412	1.377
METTL7A	0.0004753	1.378
GABRA6	1.336e-12	1.378
BCL2L12	3.8273e-09	1.378
MSLNL	3.0489e-26	1.378
LURAP1L	0.025029	1.378
GNB3	3.3303e-11	1.378
STX11	0.00047412	1.379
NUDT13	6.6163e-12	1.379
HAS1	1.3084e-12	1.379
SLC25A15	3.7038e-07	1.379
TMEM200B	0.0018333	1.379
ZNF99	0.02495	1.38
LYPD5	0.00047161	1.38
MRPL3	1.3045e-12	1.38
MSS51	3.2758e-11	1.38
HES6	0.083905	1.38
KIF2B	1.6069e-10	1.38
TET2	4.3334e-54	1.38
THNSL1	1.3403e-17	1.38
SURF2	6.9279e-06	1.381
RAB37	8.1116e-08	1.381
OR2B3	0.0068596	1.381
CPNE7	4.2743e-24	1.381
NKX3-1	0.00047049	1.381
OR6N2	0.0018194	1.381
TLR5	2.4773e-13	1.382
ORAOV1	0.0018149	1.382
CYP4F3	3.5413e-16	1.382
LRRC61	0.0018145	1.382
FAIM	0.00011755	1.382
MRPL15	1.6024e-06	1.382
SDCBP2	3.6357e-07	1.382
DEFA4	0.49798	1.382
CASP16	0.0018103	1.383
CTNNBIP1	0.024772	1.383
PRPH	4.7898e-14	1.383
OR1D5	0.024783	1.383
SLC27A6	2.4339e-18	1.383
AIG1	3.6161e-07	1.383
RIPPLY3	0.083551	1.383
PHYKPL	4.7744e-14	1.383
CDCA4	0.083527	1.383
POMC	0.00011658	1.384
RAET1G	6.8212e-06	1.384
TP53INP1	0.00046552	1.384
UGT2A2	4.7525e-14	1.384
HSPA6	6.8282e-06	1.384
ABCG5	3.081e-21	1.385
ANKRD16	7.4267e-10	1.385
BAAT	7.8651e-08	1.385
MSC	0.024651	1.385
PRM2	0.024644	1.385
ZNF230	0.083152	1.385
VWA2	1.2242e-17	1.386
MOCS2	0.00046138	1.386
OCM2	0.024605	1.386
ST6GALNAC4	3.5202e-07	1.387
RFESD	6.7235e-06	1.387
PPP1R3E	0.23729	1.387
CYP3A5	6.2948e-17	1.387
ACP6	2.3344e-13	1.387
C16orf74	0.49655	1.387
GNG7	0.49663	1.387
TBPL2	1.4914e-10	1.387
SLC25A31	7.3162e-10	1.387
ATP5H	0.00045999	1.387
GH2	0.024553	1.387
LRRC53	1.4846e-10	1.387
GALNT8	8.0674e-20	1.388
MILR1	0.024528	1.388
OR2A12	0.02453	1.388
CRYBA4	3.4999e-09	1.388
MRM1	6.6719e-06	1.388
METTL18	2.8027e-05	1.388
SNRPA	2.8099e-05	1.388
SPACA3	0.00011484	1.388
GALE	1.4757e-10	1.388
TMEM235	0.00045831	1.388
DNAJC28	1.6455e-08	1.389
NPC2	0.0017755	1.389
SLC17A9	6.0979e-17	1.389
MLIP	3.1564e-16	1.389
MYOZ3	2.7932e-05	1.389
RNF186	0.082589	1.389
IKBIP	7.6128e-08	1.389
CITED1	0.024446	1.389
C16orf58	1.1367e-17	1.39
CYP2J2	1.6181e-15	1.39
BDH1	7.5703e-08	1.39
MTAP	7.5973e-08	1.39
NECAB2	2.2364e-13	1.39
ASRGL1	2.7632e-05	1.391
AK3	0.0001135	1.391
SCRN2	5.7373e-12	1.391
TMEM30B	2.7589e-05	1.391
GSTM2	3.3913e-07	1.392
TBXAS1	1.4088e-20	1.392
FOXD4L3	0.49542	1.392
FAM107B	7.4318e-08	1.392
TUBAL3	7.4351e-08	1.392
FAM187A	6.5367e-06	1.392
RABEPK	2.8422e-11	1.392
PTH2R	1.4112e-20	1.392
ADRA1A	3.3722e-07	1.393
CCDC129	6.5498e-36	1.393
ORC6	3.3618e-07	1.393
MARCH10	3.2957e-24	1.393
PCK2	1.7471e-23	1.393
SPINK14	0.024203	1.394
TRAM1L1	0.0066436	1.394
ARSH	7.3193e-08	1.394
ATP5S	6.451e-06	1.394
RGS13	0.0004479	1.394
CDKN2D	0.49473	1.394
C1orf220	0.23559	1.394
QPCTL	1.5671e-08	1.394
SLC2A10	1.5672e-08	1.394
KRT78	1.4942e-15	1.395
ABHD14A	6.4241e-06	1.395
SPA17	0.0066161	1.395
DNASE1L2	3.3152e-07	1.395
FDCSP	0.081818	1.395
PMVK	2.7113e-05	1.395
KRTAP10-5	0.00044641	1.395
MND1	3.2813e-09	1.395
OR2V2	0.081893	1.395
SLC35B3	1.3646e-10	1.395
C1orf109	1.4731e-06	1.396
KRT36	2.0568e-13	1.396
CRLF2	3.3104e-07	1.396
C21orf2	3.291e-07	1.396
TOR1AIP2	3.2484e-09	1.396
LRRC27	1.0059e-17	1.397
PM20D1	1.8989e-18	1.397
KRTAP3-2	0.49412	1.397
KRTAP4-8	0.024058	1.397
MED28	0.00011083	1.397
HEYL	3.2662e-07	1.397
ZNF878	0.081539	1.397
IRAK1BP1	1.449e-06	1.398
ZNF426	6.3008e-06	1.398
C12orf39	0.00011029	1.398
MS4A15	0.00044265	1.398
ZNF17	0.23465	1.398
GPANK1	3.2444e-07	1.398
CPA2	1.4033e-15	1.399
GLYATL3	7.0711e-08	1.399
SNX32	1.8347e-18	1.399
CTHRC1	2.6661e-05	1.399
RSPO1	1.4418e-06	1.399
TMEM106C	1.5025e-08	1.399
ZNF841	0.023931	1.399
C5orf38	0.0017218	1.399
TEX26	3.1421e-09	1.399
LTB4R2	0.00043854	1.4
TFB1M	6.3927e-10	1.4
NDUFA4	0.023901	1.4
ROMO1	0.234	1.4
AC024592.12	0.023907	1.4
LYPLAL1	2.6427e-05	1.4
MYRFL	3.0843e-09	1.401
MS4A3	2.6344e-05	1.401
INA	1.4818e-08	1.401
CPA4	9.3852e-18	1.401
KCNH6	7.1244e-31	1.401
POLR1C	6.3221e-10	1.401
BHMT	3.739e-14	1.401
SCN2B	0.0017119	1.401
ZNF524	0.081085	1.401
TMEM42	0.080845	1.402
HSBP1	0.23354	1.402
CYP2C9	1.2709e-10	1.402
KRT26	7.0954e-15	1.402
ARID3C	3.0544e-09	1.402
ACPP	2.5463e-16	1.403
DPM3	0.23318	1.403
P2RX2	9.6508e-13	1.403
PDE11A	8.6896e-37	1.404
OTOP2	3.5925e-14	1.404
CCDC74B	1.242e-10	1.404
FAM101A	0.23296	1.404
KRTAP10-11	0.00043329	1.404
MAD2L1BP	1.4439e-08	1.404
ATP6V0D2	2.4683e-11	1.404
MYL6B	6.0924e-06	1.405
UBXN2A	1.3932e-06	1.405
CCDC17	3.9155e-22	1.405
ACTL10	0.08052	1.405
M1AP	3.1588e-19	1.405
ZNF345	1.4292e-08	1.405
GYG1	4.8291e-12	1.405
C1orf174	0.0001068	1.405
ATG4C	4.674e-17	1.405
GABRP	1.8174e-13	1.405
CCDC87	3.5141e-14	1.405
ZNF181	9.4669e-13	1.405
C6orf201	0.0064377	1.406
SERTM1	0.49156	1.406
C4orf51	6.0318e-06	1.406
PFN4	0.0016894	1.406
P2RY12	0.0016859	1.406
SCGB2A1	0.23239	1.406
MALL	0.23241	1.406
DBX2	6.0563e-06	1.406
SLC26A11	3.0064e-19	1.407
KRTAP10-3	0.023538	1.407
MUC21	0.080201	1.407
CXorf58	3.0653e-07	1.407
TPPP2	0.023554	1.407
SPHK1	3.0327e-07	1.408
NUDT15	0.0016748	1.408
KRT83	3.3665e-14	1.408
FAM83A	3.0324e-07	1.408
WBP1	6.5841e-08	1.408
SCIMP	0.0004268	1.408
BST2	0.00042516	1.409
CETN3	0.00010528	1.409
ERICH2	0.0063781	1.409
ASPDH	1.3545e-06	1.409
SCGN	2.3395e-11	1.409
TRIM51	1.3832e-08	1.409
TMEM82	3.0094e-07	1.409
ZNF525	0.23167	1.409
C12orf43	0.00010484	1.41
CHMP4C	2.9916e-07	1.41
OR1J4	0.079793	1.41
C9orf89	5.9279e-06	1.41
KISS1	0.49039	1.41
TMEM14A	0.023377	1.41
IER3IP1	0.023402	1.41
IFT27	5.8825e-06	1.411
PTTG1	0.00042161	1.411
TSPAN4	6.4243e-08	1.411
SLC29A2	3.2307e-14	1.411
ZNF391	6.4452e-08	1.411
CCDC68	8.7053e-13	1.411
KRTAP1-4	0.23104	1.412
SPACA7	1.329e-06	1.412
ITGB3BP	2.9577e-07	1.412
GPX7	5.8451e-06	1.412
RPH3AL	4.4376e-12	1.412
ZDHHC24	0.0004208	1.412
